과목구분,교과(군),과목유형,과목,학점,1-1,1-2,2-1,2-2,3-1,3-2
"학교지정","국어","일반 선택","독서","4","0","0","0","4","0","0"
"학교지정","수학","일반 선택","수학Ⅱ","4","0","0","0","4","0","0"
"학교지정","영어","일반 선택","영어Ⅱ","4","0","0","0","4","0","0"
"학교지정","체육","일반 선택","운동과 건강","2","0","0","0","2","0","0"
"학교지정","체육","진로 선택","스포츠생활","1","0","0","0","0","1","0"
"학교지정","체육","진로 선택","스포츠생활","1","0","0","0","0","0","1"
"학교지정","예술","진로 선택","음악 연주","2","0","0","0","2","0","0"
"학교지정","교양","일반 선택","보건","1","0","0","0","1","0","0"
"학생선택C","국어","일반 선택","언어와 매체","3","0","0","0","0","3","0"
"학생선택C","국어","일반 선택","화법과 작문","3","0","0","0","0","3","0"
"학생선택C","수학","일반 선택","미적분","3","0","0","0","0","3","0"
"학생선택C","수학","일반 선택","확률과 통계","3","0","0","0","0","3","0"
"학생선택C","영어","일반 선택","영어독해와 작문","3","0","0","0","0","3","0"
"학생선택C","영어","일반 선택","영어회화","3","0","0","0","0","3","0"
"학생선택C","사회(역사/도덕 포함)","일반 선택","동아시아사","3","0","0","0","0","3","0"
"학생선택C","사회(역사/도덕 포함)","일반 선택","윤리와 사상","3","0","0","0","0","3","0"
"학생선택C","사회(역사/도덕 포함)","일반 선택","정치와 법","3","0","0","0","0","3","0"
"학생선택C","사회(역사/도덕 포함)","일반 선택","한국지리","3","0","0","0","0","3","0"
"학생선택C","과학","진로 선택","물리학Ⅱ","3","0","0","0","0","3","0"
"학생선택C","과학","진로 선택","생명과학Ⅱ","3","0","0","0","0","3","0"
"학생선택C","과학","진로 선택","지구과학Ⅱ","3","0","0","0","0","3","0"
"학생선택C","과학","진로 선택","화학Ⅱ","3","0","0","0","0","3","0"
"학생선택D","사회(역사/도덕 포함)","진로 선택","여행지리","1","0","0","0","0","1","0"
"학생선택D","과학","진로 선택","생활과 과학","1","0","0","0","0","1","0"
"학생선택D","기술⋅가정/정보","진로 선택","마케팅과 광고","1","0","0","0","0","1","0"
"학생선택D","기술⋅가정/정보","진로 선택","미디어콘텐츠일반","1","0","0","0","0","1","0"
"학생선택D","기술⋅가정/정보","진로 선택","체육전공실기기초","1","0","0","0","0","1","0"
"학생선택E","예술","진로 선택","미술감상과 비평","1","0","0","0","0","1","0"
"학생선택E","예술","진로 선택","음악감상과 비평","1","0","0","0","0","1","0"
"학생선택F","교양","일반 선택","교육학","1","0","0","0","0","1","0"
"학생선택F","교양","일반 선택","실용경제","1","0","0","0","0","1","0"
"학생선택F","교양","일반 선택","심리학","1","0","0","0","0","1","0"
"학생선택F","교양","일반 선택","환경","1","0","0","0","0","1","0"